"GR113-003","GR113-005","GR113-006","GR113-010","GR113-015","GR113-016","GR113-018","GR113-020","GR113-021","GR113-022","GR113-023","GR113-024","GR113-025","GR113-026","GR113-027","GR113-028","GR113-029","GR113-030","GR113-031","GR113-032","GR113-033","GR113-034","GR113-035","GR113-036","GR113-038","GR113-039","GR113-040","GR113-041","GR113-042","GR113-043","GR113-044","GR113-045","GR113-046","GR113-048","GR113-049","GR113-050","GR113-051","GR113-052","GR113-055","GR113-056","GR113-057","GR113-059","GR113-060","GR113-062","GR113-063","GR113-065","GR113-066","GR113-067","GR113-068","GR113-069","GR113-070","GR113-071","GR113-073","GR113-074","GR113-075","GR113-077","GR113-078","GR113-083","GR113-084","GR113-085","GR113-086","GR113-087","GR113-088","GR113-089","GR113-090","GR113-091","GR113-092","GR113-094","GR113-095","GR113-096","GR113-100","GR113-102","GR113-103","GR113-106","GR113-107","GR113-108","GR113-109","GR113-110","GR113-111","GR113-114","GR113-115","GR113-116","GR113-118","GR113-119","GR113-120","GR113-121","GR113-122","GR113-123","GR113-125","GR113-126","GR113-128","GR113-129","GR113-130","GR113-132","GR113-133","GR113-135","Other","Combine-GR113-097"
110,72,22,2992,423,1332,705,718,1018,1145,4949,1035,2492,352,13428,588,3620,368,546,1197,2799,960,1067,1086,120,1961,1759,1015,10,5872,1158,438,6561,383,30,101,1453,4586,352,2237,341,19858,342,7183,25566,96,90,5270,10400,1637,16628,1530,1436,872,311,137,7139,145,1984,455,10564,125,1646,2401,421,27,139,1082,1297,259,3279,76,47,3,41,1098,903,2258,16734,2936,163,135,1221,73,122,489,1035,1758,1478,1020,995,487,34,28,301,257,116,76
86,62,10,2774,385,1275,675,614,956,1034,4481,971,2217,311,12179,540,3363,339,497,1094,2505,815,923,992,131,1854,1761,866,3,5370,1067,420,5991,346,19,89,1336,3881,359,2002,308,17402,286,6457,22746,87,82,5018,9515,1458,14728,1341,1353,901,303,476,7309,154,1972,451,10684,107,1544,2282,413,35,109,955,1181,229,3055,68,32,2,35,1062,906,2131,15111,2750,170,97,1041,58,140,337,979,1429,1323,973,786,413,42,26,283,238,142,66
134,75,15,3191,437,1309,738,633,1000,1151,4931,1092,2439,351,13138,590,3637,391,580,1140,2911,997,1058,1147,111,2025,1816,959,7,5718,1151,448,6402,441,30,86,1534,4427,372,2120,354,19103,287,6682,24616,93,80,5586,10548,1603,16197,1454,1445,910,353,499,7849,153,1908,473,11301,126,1635,2556,494,30,132,1068,1309,237,3398,72,46,0,24,1215,933,2306,16565,3209,183,108,1183,57,171,306,987,1597,1381,1084,773,526,38,19,286,277,140,68
102,70,10,2565,397,1213,610,607,936,1058,4611,1002,2395,298,12006,574,3293,332,563,1092,2626,875,1014,999,107,1826,1654,886,2,5325,1083,386,5758,340,26,76,1206,3579,323,1896,264,16468,281,5739,21176,98,73,4573,8970,1343,13983,1272,1377,800,284,96,5298,90,1590,392,8887,88,1404,2074,374,29,122,916,1177,226,2871,74,32,3,29,1183,854,1982,14216,3148,191,146,1015,65,243,250,1038,1471,1411,1064,837,467,29,37,326,216,80,81
99,60,11,2420,425,1253,533,605,990,999,4804,1027,2432,325,12633,622,3526,378,551,1072,2661,885,962,1092,109,1944,1669,891,9,5590,1026,343,5582,317,24,60,1098,3267,300,1816,267,15854,257,5593,20447,86,66,4348,8932,1297,13246,1163,1190,825,309,16,4243,81,1372,390,7683,100,1109,2015,352,27,121,944,1187,220,2707,66,37,3,27,1238,804,2100,13750,3741,190,233,1101,60,355,236,1015,1487,1419,1123,889,539,28,24,301,238,58,63
84,54,18,2141,401,1164,525,589,981,1014,4584,972,2405,288,12054,582,3375,312,477,1075,2521,865,949,1004,128,1744,1667,842,9,5366,1078,366,5030,287,24,56,993,2998,273,1669,255,14882,217,5385,18818,94,65,4007,8195,1225,12395,1057,1167,829,311,5,3577,79,1272,322,6948,70,1062,1861,340,29,111,955,1143,257,2616,68,35,2,28,1206,823,2143,12588,3590,190,196,1021,50,525,198,961,1464,1375,1059,923,498,26,27,284,225,71,64
80,70,12,2191,379,1214,521,607,998,1044,4767,1040,2468,314,12530,590,3420,341,541,1155,2602,899,1038,1059,130,1905,1630,921,8,5756,1080,361,5230,326,28,51,1065,3190,286,1784,275,15121,252,5870,19635,100,69,4227,8495,1301,12453,1146,1167,795,338,3,3568,59,1177,370,6858,73,1009,1794,349,38,122,1000,1084,226,2665,80,31,3,29,1216,853,2198,13058,3910,171,251,1027,71,733,209,1140,1806,1437,1113,966,566,30,27,332,234,41,64
75,52,12,2235,376,1151,562,605,1022,1065,4761,987,2440,313,12666,658,3464,347,522,1179,2626,942,942,1029,110,1862,1764,883,5,5390,1121,352,5114,279,28,49,1060,3221,270,1722,251,14588,242,5273,18653,113,65,3944,8258,1291,12566,1085,1188,739,325,8,3349,50,1141,288,6492,83,1066,1787,367,33,134,985,1179,229,2623,64,37,5,33,1265,835,2201,12773,4061,193,218,1032,49,498,175,1024,1582,1421,1168,942,534,38,23,319,231,50,69
68,65,14,2202,401,1183,594,596,1001,1045,4703,1057,2379,276,12476,577,3373,347,552,1127,2438,897,978,1076,100,1905,1709,854,6,5309,1089,346,5230,307,25,55,1090,3317,281,1616,228,14722,242,5241,18626,70,68,3987,7852,1311,12493,1026,1299,747,326,7,3671,73,1134,346,6335,74,1043,1782,351,39,126,988,1109,210,2607,66,24,2,31,1273,857,2054,12668,3715,187,172,1113,71,291,186,941,1430,1294,957,945,558,44,23,276,216,43,76
72,62,20,2433,382,1229,566,631,982,1089,4938,1072,2512,327,13073,639,3457,376,526,1187,2692,1046,1030,1128,127,1931,1899,923,8,5607,1135,350,5515,325,21,69,1252,3775,293,1778,245,16034,260,5873,20512,89,74,4278,8800,1457,13691,1228,1383,867,402,14,4365,95,1231,402,7203,79,1131,2004,360,32,120,1032,1154,248,2846,67,41,2,34,1193,876,2316,14150,3945,169,116,1158,83,189,231,1029,1434,1406,1033,965,485,32,33,306,235,64,61
92,48,12,2542,408,1177,570,615,963,1000,4643,1062,2405,321,12600,605,3346,314,547,1138,2597,893,966,1028,106,1868,1745,966,12,5343,1070,352,5459,281,28,70,1151,3834,260,1879,245,16014,243,5723,20301,78,79,4389,8526,1376,13442,1254,1300,784,358,41,4740,65,1247,342,7528,93,1231,2022,372,32,104,962,1184,232,2804,67,37,5,34,1142,845,2271,14010,3658,164,105,1008,101,145,289,988,1392,1362,1062,835,484,23,22,274,199,75,61
106,74,10,2994,439,1302,680,666,1071,1067,4983,1065,2498,339,13373,650,3654,360,566,1171,2751,1042,984,1125,124,1977,1941,1010,4,5605,1169,341,6527,353,21,88,1355,4461,307,2183,294,19408,323,6907,23951,112,79,5286,10418,1669,15544,1423,1502,933,405,363,6957,128,1759,426,10082,95,1388,2453,411,39,124,1071,1297,257,3248,78,31,1,30,1168,904,2712,16060,3738,147,127,1242,86,117,442,1049,1538,1292,944,972,504,34,35,305,257,123,57
143,54,14,3535,462,1409,672,671,1074,1141,5085,1086,2483,373,13649,622,3797,384,577,1186,2863,1018,1011,1096,129,2039,1924,1098,14,5581,1246,449,7134,443,34,103,1676,5325,373,2508,309,20591,351,7724,26616,111,61,6115,10898,1897,17424,1530,1478,919,455,1364,10827,225,2173,578,12908,115,1891,2812,467,35,152,1144,1396,245,3760,68,44,7,43,1170,928,2737,18462,3362,121,174,1155,89,129,485,1136,1736,1447,1145,913,484,40,36,313,295,174,83
120,59,10,2864,430,1202,554,585,974,981,4506,1016,2312,310,12295,572,3313,318,488,1149,2452,975,950,1044,102,1808,1651,861,14,4966,1111,371,5863,399,31,82,1313,4297,329,1988,259,16435,255,5963,21479,86,69,4832,9226,1489,14710,1237,1366,866,412,251,6629,119,1656,420,9270,105,1525,2206,405,28,119,980,1206,214,3110,72,37,2,28,1076,905,2442,15631,2909,82,126,1051,40,132,354,1099,1382,1318,1020,783,478,28,13,284,267,106,61
131,49,14,2617,443,1233,467,623,965,1079,4674,1077,2439,311,13009,599,3571,389,570,1194,2618,965,1000,1091,96,1912,1791,883,12,5217,1080,383,5827,363,18,81,1225,3932,332,2055,230,16374,274,5885,21239,116,67,4665,9162,1576,14297,1195,1315,863,393,46,5430,100,1501,395,8803,107,1437,2167,401,33,129,1000,1257,230,3037,75,34,4,30,1198,915,2363,14966,3301,97,117,1038,43,173,287,1119,1373,1468,1052,845,473,24,22,316,291,87,66
116,47,15,2417,415,1196,450,603,988,1009,4756,1078,2372,324,12407,603,3383,337,538,1108,2545,941,980,974,109,1786,1747,850,7,5095,1053,333,5500,259,29,63,1179,3604,293,1978,221,15572,268,5334,20114,101,77,4325,8569,1435,13295,1134,1281,860,363,13,4680,88,1354,328,7819,95,1252,2145,345,28,128,945,1125,224,2795,53,33,0,26,1206,879,2289,13813,3494,116,168,1012,51,243,263,1120,1369,1372,1111,810,468,24,14,322,260,62,48
121,49,14,2280,467,1235,460,616,999,1024,4834,1106,2427,304,12799,657,3560,338,547,1182,2523,1049,1002,1001,124,1863,1794,866,6,5387,1148,354,5515,309,20,56,1212,3678,315,1946,217,15223,263,5621,20332,84,56,4328,8812,1438,13447,1164,1257,790,331,4,4255,91,1267,344,7670,79,1256,2017,359,47,122,990,1142,262,2894,85,34,1,33,1241,818,2310,14018,3697,132,219,1110,54,423,194,1183,1374,1449,1173,910,551,30,15,341,270,50,47
111,42,10,2239,431,1179,430,589,988,1083,4565,992,2373,280,12568,610,3330,338,500,1116,2418,933,931,1067,114,1921,1657,896,3,5162,1078,374,5274,275,30,60,1036,3235,279,1729,198,14282,226,5312,18592,87,56,4274,8268,1373,12384,1058,1137,816,354,4,3983,80,1204,324,7284,87,1290,1919,353,32,115,983,1121,224,2768,72,30,4,29,1236,927,2200,13247,3760,118,176,1088,63,570,185,1076,1287,1415,1030,947,513,27,16,304,234,64,70
100,48,17,2335,444,1200,379,614,1017,1069,4827,1089,2518,324,12826,589,3582,345,563,1137,2505,979,1030,1054,94,1850,1760,882,9,5268,1089,351,5278,299,21,32,1181,3679,264,1844,221,14774,302,5304,19068,98,62,4409,8308,1389,12690,1134,1184,815,358,5,3862,80,1141,350,7314,74,1212,1949,360,48,115,974,1178,237,2870,62,36,4,39,1133,853,2712,13518,4157,143,211,1120,56,667,173,1048,1480,1434,1048,1008,547,45,17,315,264,32,71
98,66,12,2390,452,1159,416,627,1009,1087,4902,1100,2534,306,13128,634,3551,344,573,1235,2614,977,1023,1011,96,1985,1696,937,6,5337,1129,361,5400,314,25,41,1168,3714,276,1801,218,14735,264,5293,18805,101,66,4369,8317,1298,12887,1108,1284,821,380,2,3938,57,1163,275,7024,91,1250,1876,360,30,130,1033,1126,242,2833,56,40,6,23,1167,858,2722,13478,3984,168,176,1137,73,474,175,980,1495,1410,1146,940,570,32,14,327,221,48,58
