"","method","rmsse"
"1","Base",0.694524379879119
"2","Two-level",0.694365637022799
"3","Natural",0.691315757760925
"4","Grouped",0.706763278664946
"5","TS-EUC-ME",0.693923523611743
"6","ER-EUC-ME",0.693802506386903
"7","TSF-EUC-ME",0.693849295358103
"8","ERF-EUC-ME",0.694165402173612
"9","TS-EUC-HC",0.69224378262816
"10","ER-EUC-HC",0.691956137724675
"11","TSF-EUC-HC",0.690862096740045
"12","ERF-EUC-HC",0.690987143963558
"13","TS-DTW-ME",0.694042327008755
"14","TS-DTW-HC",0.691082848735267
"15","ER-DTW-ME",0.694196823186295
"16","ER-DTW-HC",0.691213980601474
"17","Combination",0.69018858574646
