"","method","tourism","mortality"
"1","Base",0.6945,0.753
"2","Two-level",0.6944,0.7528
"3","Natural",0.6913,0.7501
"4","TS-EUC-ME",0.6939,0.7528
"5","ER-EUC-ME",0.6938,0.753
"6","TSF-EUC-ME",0.6938,0.7549
"7","ERF-EUC-ME",0.6942,0.7532
"8","TS-EUC-HC",0.6922,0.754
"9","ER-EUC-HC",0.692,0.7507
"10","TSF-EUC-HC",0.6909,0.7509
"11","ERF-EUC-HC",0.691,0.7501
"12","TS-DTW-ME",0.694,0.7528
"13","TS-DTW-HC",0.6911,0.7496
"14","ER-DTW-ME",0.6942,0.7531
"15","ER-DTW-HC",0.6912,0.7532
"16","Combination",0.6902,0.7423
