"","method","rmsse"
"1","Base",0.752952569771632
"2","Two-level",0.752814931006275
"3","Natural",0.750082595090226
"4","Grouped",0.809092723667954
"5","TS-EUC-ME",0.752789160165203
"6","ER-EUC-ME",0.753025251950278
"7","TSF-EUC-ME",0.754877054632366
"8","ERF-EUC-ME",0.75324665677423
"9","TS-EUC-HC",0.75395701073179
"10","ER-EUC-HC",0.750677513906903
"11","TSF-EUC-HC",0.750907076614455
"12","ERF-EUC-HC",0.750102989642123
"13","TS-DTW-ME",0.752777374145985
"14","TS-DTW-HC",0.749589575641524
"15","ER-DTW-ME",0.753079539792604
"16","ER-DTW-HC",0.753237905561353
"17","Combination",0.74234008850726
