"","method","top","middle","bottom"
"1","Base",0.760569857472988,0.743686220043554,0.752874842346108
"2","Two-level",0.735502438178687,0.735057139916117,0.752991589096353
"3","Natural",0.738134260681168,0.732292919300484,0.750204516869911
"4","Grouped",0.797919019013408,0.782873176968087,0.809206741062389
"5","TS-EUC-ME",0.728108904374432,0.734494215319217,0.753040999510007
"6","ER-EUC-ME",0.741245597918328,0.739846889371052,0.753145452501624
"7","TSF-EUC-ME",0.7389399233632,0.740472320247013,0.755039678420827
"8","ERF-EUC-ME",0.732869903128355,0.738380908890991,0.75345458283184
"9","TS-EUC-HC",0.739973229694534,0.73008454499074,0.754099702375028
"10","ER-EUC-HC",0.745940283599219,0.732217274857912,0.750725852991675
"11","TSF-EUC-HC",0.744285458271555,0.739093655374356,0.750974644148566
"12","ERF-EUC-HC",0.742125832212617,0.735094795153021,0.75018438920773
"13","TS-DTW-ME",0.726419627153652,0.733629774088121,0.753046330747948
"14","TS-DTW-HC",0.731055170279692,0.729845264991021,0.749778702226849
"15","ER-DTW-ME",0.732849716538068,0.739428950874377,0.753285966560507
"16","ER-DTW-HC",0.748305705076565,0.736439356656177,0.753288234137728
"17","Combination",0.729702755647318,0.724158704333401,0.742469040883382
