"","method","top","middle","bottom"
"1","Base",0.869,0.7323,0.694
"2","Two-level",0.9231,0.7295,0.6936
"3","Natural",0.8765,0.7171,0.6907
"4","TS-EUC-ME",0.8999,0.7273,0.6932
"5","ER-EUC-ME",0.9177,0.7265,0.6931
"6","TSF-EUC-ME",0.9067,0.728,0.6931
"7","ERF-EUC-ME",0.9088,0.7288,0.6935
"8","TS-EUC-HC",0.8739,0.7192,0.6916
"9","ER-EUC-HC",0.8902,0.7194,0.6913
"10","TSF-EUC-HC",0.8811,0.7186,0.6902
"11","ERF-EUC-HC",0.8896,0.7187,0.6903
"12","TS-DTW-ME",0.9086,0.7285,0.6933
"13","TS-DTW-HC",0.8783,0.7186,0.6905
"14","ER-DTW-ME",0.9108,0.7289,0.6935
"15","ER-DTW-HC",0.8779,0.7186,0.6906
"16","Combination",0.8934,0.7207,0.6895
"17","Stack",0.8312,0.7214,0.7064
