"","method","top","middle","bottom"
"1","Base",0.869011860960604,0.732324190350686,0.693950393518922
"2","Two-level",0.923086131818225,0.729542569662773,0.693613251632163
"3","Natural",0.87650366671292,0.71707389499245,0.690706581836797
"4","Grouped",0.831165614768908,0.721400184469095,0.706346059795802
"5","TS-EUC-ME",0.899919595970876,0.727271229523962,0.693245890847405
"6","ER-EUC-ME",0.91768334390733,0.726546685749335,0.693065930235648
"7","TSF-EUC-ME",0.906641632872053,0.727977184787174,0.693150191845314
"8","ERF-EUC-ME",0.908807636888415,0.728819506095089,0.693459328861308
"9","TS-EUC-HC",0.873894966442442,0.719235896357991,0.691646244685572
"10","ER-EUC-HC",0.890209935329263,0.719383171847366,0.691303978529323
"11","TSF-EUC-HC",0.881085456212966,0.718628914191515,0.690223474936648
"12","ERF-EUC-HC",0.88956680033753,0.718672466208219,0.690333916800127
"13","TS-DTW-ME",0.908557129320882,0.728463360370763,0.693336671271192
"14","TS-DTW-HC",0.878327444311572,0.718598556463993,0.69046690571746
"15","ER-DTW-ME",0.910843793508424,0.728865497189261,0.693484152936005
"16","ER-DTW-HC",0.877921501044787,0.71855364674649,0.69059980385429
"17","Combination",0.893355968548567,0.720656365537609,0.689519704655253
