"","method","rmsse"
"1","Base",0.694524365543321
"2","Two-level",0.694365621731134
"3","Natural",0.691315752606882
"4","Grouped",0.706755304238337
"5","TS-EUC-ME",0.693923509552728
"6","ER-EUC-ME",0.693802380772277
"7","TSF-EUC-ME",0.693850163783107
"8","ERF-EUC-ME",0.694165388887627
"9","TS-EUC-HC",0.692243781478218
"10","ER-EUC-HC",0.691956129207355
"11","TSF-EUC-HC",0.690849251924439
"12","ERF-EUC-HC",0.690987139369102
"13","TS-DTW-ME",0.694042312117256
"14","TS-DTW-HC",0.691082841909572
"15","ER-DTW-ME",0.694196807495259
"16","ER-DTW-HC",0.691213973353275
"17","Combination",0.690188020274576
